measurement_time	3D_X	3D_Y	3D_Z	3D_Q2	3D_Q1	2D_Y2	2D_Y1	2D_X1	2D_X2
6933019147468344320	-0.314453	-0.357412	-0.0460454	0.488844	-0.604162	2.3058	2.95976	-2.94977	-0.0414515
6933019141035098112	-0.313991	-0.375372	-0.0525603	0.43934	-0.544884	2.30558	2.95952	-2.95019	-0.0428765
6933019134601852928	-0.31237	-0.359648	-0.0523623	0.482742	-0.595884	2.30516	2.95981	-2.95013	-0.0505958
6933019128168606720	-0.311837	-0.357331	-0.0544603	0.488321	-0.604011	2.30525	2.95985	-2.9501	-0.0539853
6933019121735360512	-0.314157	-0.381978	-0.0493013	0.414752	-0.515525	2.30526	2.95956	-2.95028	-0.0380781
6933019115302113280	-0.312651	-0.360764	-0.0522077	0.481863	-0.594807	2.30535	2.95931	-2.94992	-0.0536037
6933019108868868096	-0.31256	-0.357648	-0.0551044	0.48831	-0.604132	2.30571	2.95956	-2.9499	-0.0625081
6933019102435621888	-0.314524	-0.357877	-0.0464512	0.488801	-0.604647	2.30539	2.95954	-2.94996	-0.0467491
6933019096002376704	-0.311543	-0.357394	-0.0539483	0.488263	-0.604151	2.30544	2.95997	-2.94992	-0.0559626
6933019089569130496	-0.31263	-0.35788	-0.0496072	0.488952	-0.604067	2.30553	2.95956	-2.95014	-0.0709552
6933019083135884288	-0.314443	-0.35745	-0.046076	0.488365	-0.604328	2.30554	2.95943	-2.9499	-0.0475316
6933019076702638080	-0.31213	-0.357289	-0.0542687	0.488505	-0.604343	2.30484	2.9596	-2.95002	-0.0519242
6933019070269391872	-0.314503	-0.357172	-0.0463514	0.487854	-0.604948	2.30549	2.95987	-2.95012	-0.0480034
6933019063836146688	-0.312228	-0.357036	-0.0542913	0.48863	-0.604235	2.30565	2.95959	-2.95009	-0.0498616
